CAF,Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.43,0.544,92.4,58.9
CAF,Central African Republic,Mbomou,Sub-Saharan Africa,0.43,0.491,89.7,54.8
CAF,Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.43,0.418,83.3,50.2
CAF,Central African Republic,Bangui,Sub-Saharan Africa,0.43,0.197,42.9,45.8
CHN,China,East,East Asia and the Pacific,0.017,0.008,1.9,40.6
CHN,China,Central,East Asia and the Pacific,0.017,0.013,3.2,40.5
CHN,China,West,East Asia and the Pacific,0.017,0.034,8.1,41.9
CIV,Cote d'Ivoire,Centre,Sub-Saharan Africa,0.31,0.359,65.6,54.8
CIV,Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.31,0.297,57.1,52
CIV,Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.31,0.322,62.5,51.6
CIV,Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.31,0.334,63.3,52.7
CIV,Cote d'Ivoire,Nord,Sub-Saharan Africa,0.31,0.477,78,61.2
CIV,Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.31,0.374,69.3,54
CIV,Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.31,0.518,85.6,60.5
CIV,Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.31,0.38,72,52.7
CIV,Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.31,0.264,53,49.9
CIV,Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.31,0.394,75.2,52.4
CIV,Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.31,0.109,25.2,43.1
CMR,Cameroon,Adamaoua,Sub-Saharan Africa,0.248,0.269,51.1,52.7
CMR,Cameroon,Centre (sans Yaound̡),Sub-Saharan Africa,0.248,0.179,41.8,42.7
CMR,Cameroon,Douala,Sub-Saharan Africa,0.248,0.024,6.7,36.4
CMR,Cameroon,Est,Sub-Saharan Africa,0.248,0.274,56.1,48.9
CMR,Cameroon,Extr̡me-Nord,Sub-Saharan Africa,0.248,0.54,86.7,62.3
CMR,Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.248,0.091,19.9,45.5
CMR,Cameroon,Nord,Sub-Saharan Africa,0.248,0.458,77.3,59.3
CMR,Cameroon,Nord-Ouest,Sub-Saharan Africa,0.248,0.167,38.8,43.1
CMR,Cameroon,Ouest,Sub-Saharan Africa,0.248,0.146,35.1,41.8
CMR,Cameroon,Sud,Sub-Saharan Africa,0.248,0.131,30.8,42.4
CMR,Cameroon,Sud-Ouest,Sub-Saharan Africa,0.248,0.129,29.3,44
CMR,Cameroon,Yaound̡,Sub-Saharan Africa,0.248,0.026,6.5,40.3
COD,"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.401,0.102,23.4,43.6
COD,"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.401,0.435,83.7,52
COD,"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.401,0.393,74.2,53
COD,"Congo, Democratic Republic of the",̡quateur,Sub-Saharan Africa,0.401,0.48,87.5,54.8
COD,"Congo, Democratic Republic of the",Kasa̡-Occidental,Sub-Saharan Africa,0.401,0.49,87.1,56.2
COD,"Congo, Democratic Republic of the",Kasa̡-Oriental,Sub-Saharan Africa,0.401,0.431,80.7,53.4
COD,"Congo, Democratic Republic of the",Katanga,Sub-Saharan Africa,0.401,0.4,72.4,55.2
COD,"Congo, Democratic Republic of the",Maniema,Sub-Saharan Africa,0.401,0.409,78,52.4
COD,"Congo, Democratic Republic of the",Nord-Kivu,Sub-Saharan Africa,0.401,0.349,67,52.1
COD,"Congo, Democratic Republic of the",Orientale,Sub-Saharan Africa,0.401,0.401,77.4,51.8
COD,"Congo, Democratic Republic of the",Sud-Kivu,Sub-Saharan Africa,0.401,0.462,82.9,55.8
COG,"Congo, Republic of",Kouilou,Sub-Saharan Africa,0.181,0.352,73.5,47.9
COG,"Congo, Republic of",Niari,Sub-Saharan Africa,0.181,0.238,52,45.7
COG,"Congo, Republic of",L̡koumou,Sub-Saharan Africa,0.181,0.323,64.1,50.4
COG,"Congo, Republic of",Bouenza,Sub-Saharan Africa,0.181,0.274,56.2,48.7
COG,"Congo, Republic of",Pool,Sub-Saharan Africa,0.181,0.299,65,46
COG,"Congo, Republic of",Plateaux,Sub-Saharan Africa,0.181,0.357,72.2,49.4
COG,"Congo, Republic of",Cuvette,Sub-Saharan Africa,0.181,0.246,53.4,46.1
COG,"Congo, Republic of",Cuvette-Ouest,Sub-Saharan Africa,0.181,0.312,66.5,46.9